skill	source	installed_at_utc
acquire-codebase-knowledge	github/awesome-copilot	2026-08-05T21:48:45Z
quality-playbook	github/awesome-copilot	2026-08-05T21:48:45Z
threat-model-analyst	github/awesome-copilot	2026-08-05T21:48:45Z
refactor	github/awesome-copilot	2026-08-05T21:48:45Z
code-review	getsentry/skills	2026-08-05T21:48:45Z
code-simplifier	getsentry/skills	2026-08-05T21:48:45Z
find-bugs	getsentry/skills	2026-08-05T21:48:45Z
security-threat-model	openai/skills	2026-08-05T21:48:45Z
supabase	supabase/agent-skills	2026-08-05T21:48:45Z
supabase-postgres-best-practices	supabase/agent-skills	2026-08-05T21:48:45Z
vercel-react-best-practices	vercel-labs/agent-skills	2026-08-05T21:48:45Z
web-design-guidelines	vercel-labs/agent-skills	2026-08-05T21:48:45Z
api-and-interface-design	addyosmani/agent-skills	2026-08-05T21:48:45Z
source-driven-development	addyosmani/agent-skills	2026-08-05T21:48:45Z
security-and-hardening	addyosmani/agent-skills	2026-08-05T21:48:45Z
test-driven-development	addyosmani/agent-skills	2026-08-05T21:48:45Z
code-review-and-quality	addyosmani/agent-skills	2026-08-05T21:48:45Z
debugging-and-error-recovery	addyosmani/agent-skills	2026-08-05T21:48:45Z
incremental-implementation	addyosmani/agent-skills	2026-08-05T21:48:45Z
doubt-driven-development	addyosmani/agent-skills	2026-08-05T21:48:45Z
performance-optimization	addyosmani/agent-skills	2026-08-05T21:48:45Z
ci-cd-and-automation	addyosmani/agent-skills	2026-08-05T21:48:45Z
observability-and-instrumentation	addyosmani/agent-skills	2026-08-05T21:48:45Z
documentation-and-adrs	addyosmani/agent-skills	2026-08-05T21:48:45Z
api-design-principles	wshobson/agents	2026-08-05T21:48:45Z
openapi-spec-generation	wshobson/agents	2026-08-05T21:48:45Z
auth-implementation-patterns	wshobson/agents	2026-08-05T21:48:45Z
error-handling-patterns	wshobson/agents	2026-08-05T21:48:45Z
e2e-testing-patterns	wshobson/agents	2026-08-05T21:48:45Z
secrets-management	wshobson/agents	2026-08-05T21:48:45Z
sast-configuration	wshobson/agents	2026-08-05T21:48:45Z
deployment-pipeline-design	wshobson/agents	2026-08-05T21:48:45Z
nextjs-app-router-patterns	wshobson/agents	2026-08-05T21:48:45Z
nodejs-backend-patterns	wshobson/agents	2026-08-05T21:48:45Z
sql-optimization-patterns	wshobson/agents	2026-08-05T21:48:45Z
